Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
30-APR-2025,35913.7,36206.55,35440.8,35794.95,32344522,4364.33
29-APR-2025,35565.75,36157.2,35416.9,35920.4,33732273,4220.55
28-APR-2025,35541.55,35679.35,35089.75,35482.95,28973047,3706.41
25-APR-2025,35487.3,35941.45,35068.15,35562.25,46181797,7158.39
24-APR-2025,35463.6,35572,35197.3,35307.1,43553843,6108.2
23-APR-2025,34700.1,35522.75,34648.45,35414.65,71805916,9648.79
22-APR-2025,34075.6,34130.3,33789.15,33941.05,37712498,4395.43
21-APR-2025,33299.6,34528.55,33283.85,34135.05,44704508,6252.36
17-APR-2025,32832.65,33471.55,32470.95,33372.35,82804558,7192.51
16-APR-2025,33215.95,33387.45,32867.95,33295.5,35816052,4117.34
15-APR-2025,33504.15,33520.65,32932.95,33275.3,31534729,4568.82
11-APR-2025,32926.65,33210.8,32526,32740.85,41380014,7228.59
09-APR-2025,32710.25,32762.3,32200.25,32517.35,41929049,5372.62
08-APR-2025,33232.4,33742.85,32859.05,33244.4,42276073,6484.69
07-APR-2025,31307.95,32835.1,30918.95,32668.8,56219869,9290.5
04-APR-2025,34224.6,34361.65,33418.65,33511.4,42306935,7777.74
03-APR-2025,35676.45,35686.55,34642.4,34757.25,38269354,6957.54
02-APR-2025,36024.45,36368.85,35970.7,36283.5,21620322,3458.29
01-APR-2025,36422.85,36538.6,35890.4,35980.65,31043045,4841.54
