Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr),Chronos_Predicted
2025-09-04,35580.6,35599.3,35093.4,35143.1,17425758,2455.2,34049.775390625
2025-09-05,35234.75,35331.5,34343.4,34635.85,23511587,3631.36,34049.775390625
2025-09-08,34744.9,34912.85,34259.4,34310.45,19554708,2786.95,34588.111328125
2025-09-09,34773.05,35304.85,34770.35,35255.9,35890893,4512.45,34453.52734375
2025-09-10,35428.9,36255.2,35426.6,36183.8,36470005,5866.58,34318.943359375
2025-09-11,36265.95,36278.2,35829.85,36003.45,22619140,4637.15,34049.775390625
2025-09-12,36331.45,36356.65,36025.3,36110.75,24644058,3767.99,34049.775390625
2025-09-15,36139.7,36151.45,35686.15,35902.15,15685889,2489.43,34184.359375
2025-09-16,35962.3,36274.0,35860.5,36212.15,23551668,3536.87,34184.359375
2025-09-17,36326.3,36608.9,36253.9,36447.15,22129153,3462.15,34184.359375
2025-09-18,36801.5,37064.95,36631.05,36750.25,31290224,4557.21,34318.943359375
2025-09-19,36765.5,36821.2,36369.95,36578.25,37154135,5645.98,34184.359375
2025-09-22,35437.9,35781.6,35145.1,35500.15,51032624,7236.03,34184.359375
2025-09-23,35477.6,35642.7,35177.35,35249.1,29898713,4385.43,34453.52734375
2025-09-24,35104.05,35193.3,34857.7,34994.25,23614187,3282.39,34184.359375
2025-09-25,34914.0,35092.4,34460.3,34548.3,29227693,4426.48,34453.52734375
2025-09-26,34399.2,34477.3,33636.55,33702.0,36990380,4263.69,34184.359375
2025-09-29,33900.6,33970.05,33606.45,33693.05,31864205,4400.06,34453.52734375
2025-09-30,33789.7,33922.6,33634.3,33655.1,28765229,4416.72,34453.52734375
2025-10-01,33702.85,34016.6,33432.1,33905.2,24155948,2989.88,34453.52734375
2025-10-03,33921.1,33992.15,33763.1,33949.75,28852765,3674.9,34318.943359375
2025-10-06,33961.4,34743.75,33926.65,34722.5,20357111,2945.66,34453.52734375
2025-10-07,34820.6,34879.2,34533.75,34709.45,20978937,3219.13,34423.9921875
2025-10-08,34664.4,35394.55,34607.3,35232.2,23277005,3693.39,34423.9921875
2025-10-09,35315.4,35688.35,35174.8,35628.5,21180675,3492.56,34423.9921875
2025-10-10,35705.65,35821.3,35321.85,35609.05,25124900,4653.09,34423.9921875
2025-10-13,35397.2,35505.35,35072.4,35330.8,20333183,3031.13,34423.9921875
2025-10-14,35542.85,35766.25,35148.4,35214.85,26301788,3962.6,34423.9921875
2025-10-15,35327.2,35571.6,35226.15,35401.8,36042614,6155.15,34423.9921875
2025-10-16,35443.7,35574.25,35229.6,35531.05,27600130,3867.98,34423.9921875
2025-10-17,35356.5,35356.5,34872.95,34950.7,73029922,6750.02,34423.9921875
2025-10-20,35109.75,35377.85,35077.85,35292.6,25620811,3479.22,34423.9921875
2025-10-21,35500.9,35564.2,35221.55,35299.75,4701798,531.79,34287.388671875
2025-10-23,35936.75,36462.0,35859.75,36078.65,57125646,7985.39,34287.388671875
2025-10-24,36211.4,36268.65,35886.15,35986.35,23122351,3449.56,34150.78515625
2025-10-27,36075.55,36279.4,35962.8,36129.1,29062362,4073.79,34423.9921875
2025-10-28,36088.65,36193.15,35677.6,35860.4,27096252,3963.53,34423.9921875
2025-10-29,35916.1,36201.55,35778.2,36090.1,23383363,3276.17,34560.59375
2025-10-30,36073.15,36127.9,35812.75,35906.4,22272638,2966.09,34423.9921875
2025-10-31,35918.55,36050.35,35681.05,35712.35,18539947,2863.23,34423.9921875
2025-11-03,35664.8,35742.8,35479.5,35653.05,19125294,2942.63,34287.388671875
